text	comment	label
<e1>ffiihf</e1> <e2>mlyisx</e2> was found to contain only one glutelin, which separated at 3 per cent of saturation with ammonium sulfate.		Entity-Origin(e2,e1)
<e1>kjozee</e1> locate these cities on the large map (B2) with assistance from the teacher (B14) marking them with colored <e2>ntwxqj</e2>.		Instrument-Agency(e2,e1)
A <e1>bzghlx</e1> of the survey was enclosed in the back-up materials <e2>rehhsr</e2>.	prototypical example the packet has a copy of the survey	Content-Container(e1,e2)
<e1>quhzkq</e1> <e2>ijrwav</e2> are multifunctional organs.		Component-Whole(e2,e1)
<e1>aqvalu</e1> to these exercises have been provided in the <e2>wouccp</e2>.		Message-Topic(e2,e1)
<e1>chyohi</e1> said that the creation of such <e2>kiejpy</e2> contributes to strengthening the city's position as one of eastern Cuba's major tourist destinations.	experts are not producers	Other
A <e1>gnyxzb</e1> was sealed in a <e2>oxsrjr</e2> and irradiated together with cobalt as a neutron flux determinant.	prototypical example	Content-Container(e1,e2)
22 traditional dancing <e1>usdemz</e1> participated in the <e2>pdscsn</e2> of Razlog.	Participation in an event. We do not see it as a form of membership. It rather is a kind of agency or co-agency.	Other
<e1>cuefxi</e1> through physical <e2>ubfhqy</e2> promotes important life skills.		Other
A <e1>dkgjoh</e1> of <e2>lzlvfq</e2> gathered for their monthly summit.		Member-Collection(e2,e1)
<e1>pymrcz</e1> use a pair of large chin <e2>uucrav</e2> to probe the sea bottom to detect buried prey.		Component-Whole(e2,e1)
<e1>kcklgx</e1> is a common theme in <e2>egjclt</e2>.		Message-Topic(e2,e1)
"A ""talented student"" who kept a <e1>hatnjp</e1> locked in a <e2>jetuge</e2> at his Wolverhampton home has been sent to a young offenders institution."	Prototypical Example	Content-Container(e1,e2)
"""Any time,"" he told her before turning to the <e1>awkask</e1> who was in the <e2>gyavof</e2> next to him."	the desk does not contain the boy; reported speech is OK here	Other
A <e1>qibkjd</e1> of legendary <e2>wmvkfh</e2> from the annals of Western history comes to life in this stirring sequel to Intellectuals and Creators.		Member-Collection(e2,e1)
<e1>hbjxsc</e1> (to-fu), or bean curd is a soft white food made by coagulating soy <e2>gjdagq</e2>.	the tofu is made of milk	Entity-Origin(e1,e2)
13, students were evacuated from Conrad Residence for approximately 15 minutes after <e1>pvomiz</e1> in one of the kitchens set off the fire <e2>cjtbag</e2>.		Cause-Effect(e1,e2)
<e1>lczgbn</e1> are parts of the <e2>tnofcy</e2> where bones meet, such as your knee.		Component-Whole(e1,e2)
<e1>jkmcqx</e1> have made batteries and <e2>xjnrsd</e2> with little more than ordinary office paper and some carbon and silver nanomaterials.	(d) and (a) are satisfied	Product-Producer(e2,e1)
<e1>irgzdj</e1> of us stopped the cyanide train, with no money, but with <e2>xpqsyw</e2>, cups of tea and home-made banners.		Instrument-Agency(e2,e1)
<e1>jktwgp</e1>, as defined earlier in this <e2>kfmkjx</e2>, is information that can be used to modify or maintain previous behaviours.		Message-Topic(e2,e1)
<e1>hossrp</e1> have succeeded in creating the first <e2>aqazwk</e2> made from a single molecule.	(a) is satisfied	Product-Producer(e2,e1)
"""Suzy"" probably refers to the <e1>rtdpuf</e1>'s <e2>qikzqj</e2>, Suzanne Miller."	People are not usually classified as Instruments, unless they are clearly non-agentive in the situation. This is a collaborative work.	Other
A <e1>rvdanc</e1> of <e2>pguzvw</e2> in the search for food shows the remarkable capability of finding shortest paths between a found food source and the anthill.		Member-Collection(e2,e1)
360 bln <e1>yekkqr</e1> have been invested into post-quake <e2>ppibyl</e2>.	both are abstract, b.1 holds	Entity-Destination(e1,e2)
<e1>dyckvg</e1> have created a living <e2>xnatmj</e2> of leather from mouse stem cells.	(a) is satisfied	Product-Producer(e2,e1)
<e1>eczwod</e1> or smoke cause <e2>ojvuwy</e2> to those with respiratory sensitivity.		Cause-Effect(e1,e2)
"""V"" starts with the arrival of a couple of dozen <e1>gmzujm</e1> from outer <e2>ykhhhj</e2>, piloted by creatures who look like humans except a lot prettier."		Entity-Origin(e1,e2)
<e1>qduabz</e1> in the lawn are caused by <e2>vsmejf</e2> working in the top few inches of turf.		Product-Producer(e1,e2)
"""MenuActivate"" occurs when the <e1>kjmdpl</e1> accesses the menu with the <e2>zqwwwu</e2> or mouse."		Instrument-Agency(e2,e1)
<e1>snqpwe</e1> is masonry produced by a <e2>ekqsgp</e2>, using bricks and mortar to build up brick structures such as walls.	(a) satisfied	Product-Producer(e1,e2)
A <e1>bpddtq</e1> is enclosed in a <e2>zwskcz</e2> fitted with a piston of cross-sectional area 0.10 mz.	prototypical example	Content-Container(e1,e2)
<e1>eikgap</e1> of conductor and arranger Andre Kostelanetz are being donated to the <e2>mfjrih</e2> by the musician's estate.		Entity-Destination(e1,e2)
<e1>colupn</e1> <e2>tdpdnf</e2>, water stones or whetstones are used to grind and hone the edges of steel tools and implements.	Purpose-Tool	Other
5 lbs of <e1>lgmcia</e1> made into a <e2>rgauob</e2> hold a 5 lb bag of flour.	clay is the material out of which the canister is made.	Other
"<e1>ubjdyj</e1> <e2>pdiavq</e2> size is measured diagonally, so that's what the 19"", 22"", 24"", 32"" measurements on televisions are referencing."		Component-Whole(e2,e1)
<e1>ewgvgs</e1> from this testing were presented in a previous technical progress <e2>jjswlh</e2> for this project.		Message-Topic(e2,e1)
<e1>flbxyf</e1> of new contract were under <e2>pitmez</e2>.		Message-Topic(e2,e1)
50 <e1>vzrjgr</e1> from every book sold are invested into sustainability <e2>xfrvyc</e2>.		Entity-Destination(e1,e2)
<e1>pqyfws</e1> are published on this <e2>fxedmv</e2> purely for educational reasons, for the purpose of information and with good intentions.		Component-Whole(e1,e2)
<e1>ascaig</e1> arrives from the <e2>bbzmqj</e2> via suitable tubing and enters the pump.		Entity-Origin(e1,e2)
A <e1>epnadf</e1> was inside a <e2>exwopp</e2> behind a stereo cabinet that was suspended about seven feet above the floor.	prototypical example	Content-Container(e1,e2)
A <e1>lfmppe</e1> full of <e2>fghbny</e2> was found by the pilot of a searching helicopter near the side of the road at a place where tire tracks could be observed pulling off the edge of the road.	prototypical example, the marihuana is inside the suitcase; modality is outside	Content-Container(e2,e1)
<e1>amsiwh</e1> deals with nuclear <e2>vamtlu</e2>, environmental issues.		Message-Topic(e1,e2)
4300 years ago <e1>vcbzga</e1> started making stone <e2>ffdweg</e2>.	(a) is satisfied	Product-Producer(e2,e1)
<e1>fgupag</e1> is caused by infection with Toxoplasma gondii, an obligate intracellular <e2>vrluip</e2>.		Cause-Effect(e2,e1)
<e1>rexdpx</e1> <e2>piqojp</e2> are very thin so the poor insect must beat (or flap) their wings very fast so that they can really take off to fly.		Component-Whole(e2,e1)
470000 mullet <e1>rodvim</e1> have been released into the <e2>sexcqu</e2>.		Entity-Destination(e1,e2)
"""Morning Sickness"" is a bit of a misnomer, as <e1>ssclyq</e1> from <e2>xihivl</e2>; it can happen at any time of the day."	modality is outside	Cause-Effect(e2,e1)
<e1>hpwzhn</e1> <e2>jyglyh</e2> is obtained by extracting oil from sunflower seeds.		Entity-Origin(e2,e1)
<e1>aatbpe</e1> in the text associated concepts was brought into the working <e2>faruup</e2> in an attempt to resolve the violation.		Entity-Destination(e1,e2)
"""Just like real baseball,"" he told the <e1>qejajh</e1> <e2>gkaywi</e2>'s reps as he tried to flog the game at toy fairs."	the manufacturer is actively involved in the production of the card	Product-Producer(e1,e2)
A <e1>rccaka</e1> of <e2>dyipni</e2> or an army of frogs in the garden is a pleasure to see, and it feels like a compliment to the gardener.		Member-Collection(e2,e1)
77793 <e1>tbtktb</e1> have arrived into the government controlled <e2>evoxts</e2> within the last two days.		Entity-Destination(e1,e2)
<e1>ixbdbp</e1> increasingly are turning to <e2>qhulnp</e2> - and away from therapy - to treat depression.		Instrument-Agency(e2,e1)
<e1>kcsary</e1> mark hydrants that work okay with spray <e2>kigepd</e2>.		Instrument-Agency(e2,e1)
<e1>aomozn</e1> was venting from the first floor of a multi-storeyed <e2>ttdkuv</e2> in South Mumbai's Nariman point area on Monday.		Other
<e1>gehjzk</e1> of the lever caused by the <e2>xhglmn</e2> of the pendulum.		Cause-Effect(e2,e1)
<e1>oybmhw</e1> gather in a <e2>mecsqz</e2>, a shallow place in a river or lake.		Member-Collection(e1,e2)
200000 <e1>nflocs</e1> of smallpox vaccine have been shipped to 35 <e2>omawth</e2>.		Entity-Destination(e1,e2)
A <e1>jxvgnf</e1> of <e2>nzeaji</e2> plagued a village.		Member-Collection(e2,e1)
<e1>ebjopa</e1> <e2>bjqgwa</e2> is available in many natural and whole food stores.		Entity-Origin(e2,e1)
<e1>gnucbz</e1> quickly generate documents that are shared via fax, email, or text message, by using <e2>tasqfi</e2>.		Instrument-Agency(e2,e1)
A <e1>efiyce</e1>, one meter on each side, is enclosed in a thermally insulating <e2>jnvfbt</e2>.	prototypical example	Content-Container(e1,e2)
<e1>eaffzo</e1> with <e2>wdcguc</e2> has become a common trend these days.		Other
<e1>iwzlzz</e1> are the most important part of an <e2>inllhk</e2>.	Organisations are regarded as loose structures, not rigid arrangements. Part-whole does not apply.	Member-Collection(e1,e2)
<e1>dgcjkh</e1> <e2>ytjrua</e2> has anti-inflammatory effects and high levels of anti-oxidants, which are believed to protect the body from free-radical damage.	modality i outside	Entity-Origin(e2,e1)
A <e1>nahbes</e1> of <e2>sfeuqb</e2>, with their beautiful crests, made a pretty dish to set before the king.		Member-Collection(e2,e1)
<e1>ewjfky</e1> is caused by infection with a <e2>mmaasr</e2> called Plasmodium that is transmitted by mosquitos.		Cause-Effect(e2,e1)
<e1>zpjvvd</e1> with one <e2>jniyia</e2> were organized in many stud farms, and a large number of separate lines were recognized.		Member-Collection(e2,e1)
<e1>ctwodn</e1> following <e2>mkkzgm</e2> has hit the West African savannahs, where there have been other bad droughts, notably the great one of 1972-74.		Cause-Effect(e2,e1)
<e1>alspga</e1> <e2>hokvhp</e2> are small, and placement at a shallow depth is required.		Entity-Origin(e2,e1)
<e1>bacbuy</e1>, frightened of losing votes, resolved the crisis through <e2>siugys</e2>.		Instrument-Agency(e2,e1)
"""Know that you are in our thoughts and our prayers,"" the <e1>zzbtsx</e1> said in a <e2>oweqkk</e2> released two days early because of Christmas."	(a) is satisfied	Product-Producer(e2,e1)
<e1>gaaqxx</e1> <e2>lpmnmx</e2> began as live outside broadcasts on BBC television in the early 1950s.		Message-Topic(e2,e1)
<e1>echgau</e1> is the topic of the <e2>kqzovr</e2>.	This is time, or period -- not a message.	Other
<e1>ferqjz</e1> produced from such <e2>ssgsez</e2>, especially Nigeria and Middle East, could have poor economical balance.		Entity-Origin(e1,e2)
<e1>gezxep</e1>, substance abuse and poverty all lead to <e2>zafnpe</e2>.		Cause-Effect(e1,e2)
<e1>diawye</e1> from <e2>ujkjee</e2> is worse at night or early in the morning, making it hard to sleep.		Cause-Effect(e2,e1)
<e1>efgang</e1> use their <e2>lnpgux</e2> to move their bodies and fins.		Component-Whole(e2,e1)
<e1>edkcwz</e1> and postcards supply current clients with <e2>rfmwam</e2>, but normally do not increase clients to the mailing list.	the negation is in the next clause, so maybe we could keep the sentence.	Message-Topic(e1,e2)
A <e1>hnhsen</e1> of <e2>jtkore</e2> was taken to market.		Member-Collection(e2,e1)
<e1>egpbvx</e1> <e2>riiimr</e2> is effective in treating emotional indigestion.		Entity-Origin(e2,e1)
<e1>nfuxaj</e1> <e2>irldko</e2> means a person who finishes all concrete construction, such as floors, walls, ceilings, sidewalks, curbs and gutters.		Instrument-Agency(e1,e2)
<e1>jmtbrw</e1> created <e2>dspiua</e2> to use for entertainment.	dolphins are actively involved in the production of tools	Product-Producer(e2,e1)
<e1>sxokwd</e1> make <e2>xpbevr</e2> and use them to acquire foods and for social displays.	the chimps are involved in the making of the tools	Product-Producer(e2,e1)
A <e1>hvyuuu</e1> with some <e2>eimrpe</e2> in it had been left by my bed earlier in the week.	prototypical example	Content-Container(e2,e1)
<e1>cumhwk</e1> are dragged into Troi's counseling <e2>nibofg</e2>.		Entity-Destination(e1,e2)
<e1>ahpedw</e1> wear a <e2>xuqmbb</e2> as its a sign of formal dresss code.		Instrument-Agency(e2,e1)
<e1>ewzvrr</e1> falls into special <e2>teybhb</e2>.	violates b.1 and c.3	Other
<e1>dueeyi</e1> was directed at its <e2>roasxx</e2>.		Message-Topic(e1,e2)
<e1>atpusn</e1> are spreading into smaller <e2>ftcils</e2> with few precedents to guide them.		Entity-Destination(e1,e2)
